BataryaGucu,Bluetooth,MikroislemciHizi,CiftHat,OnKameraMP,4G,DahiliBellek,Kalinlik,Agirlik,CekirdekSayisi,ArkaKameraMP,CozunurlukYükseklik,CozunurlukGenislik,RAM,BataryaOmru,3G,Dokunmatik,WiFi,FiyatAraligi,Renk
1325,Yok,1.9,Yok,2.0,Yok,50,0.1,146,1,10,499,695,2328.0,2,Var,Yok,Yok,Normal,Beyaz
1046,Var,2.8,Var,0.0,Var,58,0.2,100,8,0,259,1040,3863.0,9,Var,Var,Var,Pahalı,Pembe
843,Yok,1.3,Var,1.0,Yok,16,0.9,119,7,4,593,732,1734.0,14,Yok,Yok,Var,Ucuz,Mor
894,Yok,0.5,Var,1.0,Var,50,0.5,199,3,14,1285,1462,3615.0,6,Var,Yok,Var,Pahalı,Turuncu
936,Yok,1.0,Yok,1.0,Yok,18,0.2,153,3,18,1330,1686,2391.0,3,Var,Var,Var,Normal,Beyaz
1162,Yok,1.0,Yok,0.0,Yok,50,0.5,104,4,10,332,866,1404.0,15,Var,Var,Var,Ucuz,Beyaz
1849,Var,0.5,Yok,1.0,Yok,29,0.5,181,7,12,978,1986,3330.0,15,Var,Yok,Var,Pahalı,Gri
1860,Yok,0.5,Var,2.0,Var,55,0.7,83,6,3,195,799,676.0,4,Var,Yok,Var,Çok Ucuz,Beyaz
1536,Yok,0.8,Yok,12.0,Yok,13,0.3,105,7,20,22,1634,2020.0,16,Var,Var,Yok,Normal,Sarı
539,Var,0.6,Var,9.0,Yok,21,0.1,145,7,14,551,599,3597.0,9,Yok,Yok,Yok,Normal,Mavi
1563,Yok,1.7,Var,10.0,Yok,16,0.1,151,7,13,410,572,3922.0,8,Yok,Yok,Var,Pahalı,Pembe
1830,Yok,0.5,Yok,0.0,Yok,7,0.9,191,6,12,460,1583,2334.0,14,Yok,Var,Yok,Normal,Mavi
648,Yok,1.9,Var,4.0,Yok,8,1.0,91,5,19,819,1997,2991.0,4,Yok,Yok,Var,Normal,Mor
561,Var,2.1,Var,7.0,Var,2,0.1,193,3,13,1055,1294,665.0,4,Var,Var,Yok,Çok Ucuz,Turkuaz
